Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,588.950012,588.950012,580.525024,582.775024,564.03186,5718556
2018-05-09,583.75,588.450012,581.5,585.349976,566.523987,3783504
2018-05-10,588,591.5,581.424988,584,565.217468,3182862
2018-05-11,586.150024,591.599976,583.025024,590.375,571.387451,3311706
2018-05-14,592.174988,595.75,585,594.650024,575.524963,4432094
2018-05-15,594.049988,604,594.049988,597.275024,578.065552,5611974
2018-05-16,593.625,599,592.25,594.974976,575.839478,6205004
2018-05-17,598,598.724976,586.775024,591.450012,572.427856,9519598
2018-05-18,591.5,593.275024,586.5,591.599976,572.572998,7139660
2018-05-21,589.775024,594.200012,585,589.75,570.782532,8475320
2018-05-22,587.5,599,586.950012,596.924988,577.726746,5636804
2018-05-23,597.5,603.825012,590.75,592.450012,573.395691,9538442
2018-05-24,599,613.775024,599,610.5,590.865173,9740570
2018-05-25,615.049988,624.325012,610.400024,614.150024,594.397827,8901438
2018-05-28,615.5,616.299988,603,607.200012,587.671326,5739794
2018-05-29,607.025024,613.275024,603.099976,608.349976,588.784302,3388934
2018-05-30,608.5,614.375,602.799988,605.849976,586.364685,6323066
2018-05-31,605.849976,621,605.125,615.900024,596.091492,19720340
2018-06-01,615.200012,623.125,608.599976,610.400024,590.768433,4998356
2018-06-04,610.549988,621.5,606,619.700012,599.769287,4270156
2018-06-05,621,621,608.5,610.424988,590.792542,4710862
2018-06-06,612.599976,620.775024,610.025024,618.724976,598.825623,4038184
2018-06-07,619,629,619,626.224976,606.084412,6676226
2018-06-08,624,631,623.025024,630.025024,609.762207,6459878
2018-06-11,632.775024,635,627.525024,631.200012,610.899414,5171290
2018-06-12,632.875,635.625,625.224976,629.25,609.012146,7839820
2018-06-13,633.400024,642,633.400024,637.400024,616.900024,5766928
2018-06-14,626.5,626.5,617.049988,619.849976,619.849976,7598848
2018-06-15,618.5,645.75,617.5,640.625,640.625,19957760
2018-06-18,642,645.625,631.174988,633.700012,633.700012,8214846
2018-06-19,631.5,631.700012,619.025024,620.799988,620.799988,7545700
2018-06-20,624.25,626.174988,619,621.575012,621.575012,5371802
2018-06-21,622.974976,628.25,618,623.275024,623.275024,5798790
2018-06-22,621.5,627.75,620.599976,623.924988,623.924988,4343118
2018-06-25,628.575012,639.400024,627,636.224976,636.224976,7731178
2018-06-26,634.5,641.950012,633.125,638.924988,638.924988,4483504
2018-06-27,641.974976,646.724976,632.799988,635,635,6952142
2018-06-28,638.150024,649,638.125,644.799988,644.799988,10996818
2018-06-29,649.025024,657.5,641.625,653.599976,653.599976,9966600
2018-07-02,657,670,657,667.349976,667.349976,4830144
2018-07-03,665.950012,678.950012,665.875,676.875,676.875,8127452
2018-07-04,676.025024,676.325012,669.424988,672.599976,672.599976,5025722
2018-07-05,673.549988,673.625,634.049988,642,642,17019902
2018-07-06,645.125,650.924988,634.5,642.125,642.125,11215356
2018-07-09,648.5,651.5,639.525024,649.424988,649.424988,6644998
2018-07-10,654.25,657.724976,647.150024,650.700012,650.700012,5974488
2018-07-11,658.775024,671.049988,645.674988,660.224976,660.224976,11899832
2018-07-12,663.049988,663.549988,642.224976,647.174988,647.174988,13272240
2018-07-13,657.5,665.799988,649.174988,658.700012,658.700012,19496158
2018-07-16,658.700012,692.200012,643.849976,666.424988,666.424988,35344680
2018-07-17,664.849976,674.75,656.349976,663.950012,663.950012,11161690
2018-07-18,669.900024,671.700012,657,661.275024,661.275024,6919016
2018-07-19,661.5,665.950012,654.549988,658.349976,658.349976,5118864
2018-07-20,663,683.575012,660.650024,674.049988,674.049988,11705738
2018-07-23,676.075012,684,668.125,677.974976,677.974976,7675702
2018-07-24,687.200012,691.200012,678,688.575012,688.575012,6172246
2018-07-25,689.5,696.900024,682.724976,691.875,691.875,6936922
2018-07-26,689.275024,695.200012,684.599976,686.625,686.625,7362218
2018-07-27,686.599976,694.5,684.150024,686.724976,686.724976,6493232
2018-07-30,685,686.5,674,675.5,675.5,6409970
2018-07-31,674.275024,685,667.775024,682.549988,682.549988,7943996
2018-08-01,681.900024,684.224976,675.5,677.025024,677.025024,4675706
2018-08-02,679.799988,683.375,675.075012,676.825012,676.825012,5940742
2018-08-03,683.099976,683.099976,678,682.049988,682.049988,3970390
2018-08-06,683.025024,687.5,673.75,680.325012,680.325012,6178930
2018-08-07,687,689.974976,680.325012,683.974976,683.974976,7351528
2018-08-08,685.900024,686.25,676.650024,681.375,681.375,3992358
2018-08-09,686.825012,694.724976,686.825012,689.974976,689.974976,6409524
2018-08-10,692.900024,694.5,686.525024,692.724976,692.724976,4779520
2018-08-13,695,704.924988,689.349976,704.375,704.375,9979746
2018-08-14,706.974976,712.275024,702,704.150024,704.150024,6151320
2018-08-16,707.474976,717.450012,705.625,714.775024,714.775024,6626774
2018-08-17,715.450012,718.825012,711.5,715.174988,715.174988,6390408
2018-08-20,694,703.974976,686.75,692.125,692.125,16101876
2018-08-21,695,698,686.875,691.974976,691.974976,8361482
2018-08-23,696.5,700.75,692.674988,698.700012,698.700012,7717182
2018-08-24,698.25,700.950012,688.049988,689.150024,689.150024,7053000
2018-08-27,691.5,709.974976,690.700012,707.700012,707.700012,7012950
2018-08-28,708.599976,719.200012,705.75,712.349976,712.349976,6496890
2018-08-29,716.799988,716.799988,702.575012,705.049988,705.049988,5646496
2018-08-30,706.400024,710.775024,698.075012,708.099976,708.099976,11507962
2018-08-31,712.549988,727.150024,710.549988,720.549988,720.549988,10875864
2018-09-03,724.5,733.950012,715,717.125,717.125,10976328
2018-09-04,722,748.5,716,737.150024,737.150024,15370124
2018-09-05,741.950012,744.049988,725.400024,729.900024,729.900024,8658978
2018-09-06,732.549988,735.5,724.099976,727.150024,727.150024,5598659
2018-09-07,734.349976,735.150024,723.799988,732.799988,732.799988,6510605
2018-09-10,737.75,747,729.400024,730.849976,730.849976,5629871
2018-09-11,735.900024,744.75,732,734.299988,734.299988,6963561
2018-09-12,744.400024,746.5,736.25,742.900024,742.900024,4636617
2018-09-14,741.900024,745,729.049988,733.700012,733.700012,7896514
2018-09-17,735,740,724.599976,725.950012,725.950012,5427054
2018-09-18,730,730,717,719.099976,719.099976,7729732
2018-09-19,727,727,713.200012,719.75,719.75,4849498
2018-09-21,713.849976,717.400024,692,705.299988,705.299988,14350769
2018-09-24,706.5,729.950012,706.5,718.25,718.25,8637881
2018-09-25,718.25,736,717,726.200012,726.200012,9602273
2018-09-26,731.200012,731.849976,712,717.849976,717.849976,6599606
2018-09-27,722,730.799988,717.450012,724.799988,724.799988,14592616
2018-09-28,721,734.549988,715.200012,730.049988,730.049988,7490031
2018-10-01,737.5,754.900024,733,746.650024,746.650024,8252398
2018-10-03,743.799988,751.950012,726.299988,728.5,728.5,7792464
2018-10-04,728.5,729.75,702.5,707.200012,707.200012,6173037
2018-10-05,713,731.5,709.299988,724.599976,724.599976,8543578
2018-10-08,725.049988,728.700012,709.25,714.450012,714.450012,7259306
2018-10-09,717.099976,722.400024,702.650024,717.75,717.75,6777212
2018-10-10,719.900024,719.900024,695.400024,700.450012,700.450012,8866251
2018-10-11,685,692.900024,663.299988,673.349976,673.349976,10985897
2018-10-12,676.400024,684.049988,661.5,678.799988,678.799988,8909221
2018-10-15,688.599976,705,681.5,698.799988,698.799988,6222176
2018-10-16,710,713.900024,689.400024,695.25,695.25,11588963
2018-10-17,710,721.799988,701.349976,705.349976,705.349976,20360697
2018-10-19,687,687.700012,678,683.549988,683.549988,10421001
